---,Cost,KillBonus,BaseDamage,ArmourDamage,ArmourPenetration,HelmetDamage,HelmetBleed,Weight,FalloffModifier,MinFalloffDist,MaxFalloffDist
taser,500,500,100,100,100,100,100,0,0.4,400,500
newtonlauncher,0,0,100,100,100,100,100,0,0.4,400,500
tttknife,0,0,100,100,100,100,100,0,0.4,400,500
healthstation,0,0,100,100,100,100,100,0,0.4,400,500
monocular,0,0,100,100,100,100,100,0,0.4,400,500
teleporter,0,0,100,100,100,100,100,0,0.4,400,500
ballisticsshield,0,0,100,100,100,100,100,0,0.4,400,500
flaregun,0,0,100,100,100,100,100,0,0.4,400,500
dnascanner,0,0,100,100,100,100,100,0,0.4,400,500
silentcet9,650,500,100,100,100,100,100,0,0.4,400,500
detectivesmg,0,0,100,100,100,100,100,0,0.4,400,500
tttc4,0,0,100,100,100,100,100,0,0.4,400,500
goldengun,0,0,100,100,100,100,100,0,0.4,400,500
grenade_dis,0,0,100,100,100,100,100,0,0.4,400,500
